,pays,nombreDeClubs,lienDesClubs
57,Clubs de football de Norway,47,https://fbref.com/fr/pays/clubs/NOR/Clubs-de-football-de-Norway
58,Clubs de football de Paraguay,20,https://fbref.com/fr/pays/clubs/PAR/Clubs-de-football-de-Paraguay
59,Clubs de football de Peru,31,https://fbref.com/fr/pays/clubs/PER/Clubs-de-football-de-Peru
60,Clubs de football de Poland,43,https://fbref.com/fr/pays/clubs/POL/Clubs-de-football-de-Poland
61,Clubs de football de Portugal,43,https://fbref.com/fr/pays/clubs/POR/Clubs-de-football-de-Portugal
62,Clubs de football de Puerto Rico,2,https://fbref.com/fr/pays/clubs/PUR/Clubs-de-football-de-Puerto-Rico
63,Clubs de football de Réunion,1,https://fbref.com/fr/pays/clubs/REU/Clubs-de-football-de-Reunion
64,Clubs de football de Romania,50,https://fbref.com/fr/pays/clubs/ROU/Clubs-de-football-de-Romania
65,Clubs de football de Russia,49,https://fbref.com/fr/pays/clubs/RUS/Clubs-de-football-de-Russia
66,Clubs de football de San Marino,12,https://fbref.com/fr/pays/clubs/SMR/Clubs-de-football-de-San-Marino
67,Clubs de football de Saudi Arabia,25,https://fbref.com/fr/pays/clubs/KSA/Clubs-de-football-de-Saudi-Arabia
68,Clubs de football de Scotland,39,https://fbref.com/fr/pays/clubs/SCO/Clubs-de-football-de-Scotland
69,Clubs de football de Serbia,40,https://fbref.com/fr/pays/clubs/SRB/Clubs-de-football-de-Serbia
70,Clubs de football de Slovakia,19,https://fbref.com/fr/pays/clubs/SVK/Clubs-de-football-de-Slovakia
71,Clubs de football de Slovenia,15,https://fbref.com/fr/pays/clubs/SVN/Clubs-de-football-de-Slovenia
72,Clubs de football de South Africa,29,https://fbref.com/fr/pays/clubs/RSA/Clubs-de-football-de-South-Africa
73,Clubs de football de South Korea,17,https://fbref.com/fr/pays/clubs/KOR/Clubs-de-football-de-Korea-Republic
74,Clubs de football de Spain,243,https://fbref.com/fr/pays/clubs/ESP/Clubs-de-football-de-Spain
75,Clubs de football de Sweden,73,https://fbref.com/fr/pays/clubs/SWE/Clubs-de-football-de-Sweden
76,Clubs de football de Switzerland,21,https://fbref.com/fr/pays/clubs/SUI/Clubs-de-football-de-Switzerland
77,Clubs de football de Turkey,51,https://fbref.com/fr/pays/clubs/TUR/Clubs-de-football-de-Turkey
78,Clubs de football de Ukraine,39,https://fbref.com/fr/pays/clubs/UKR/Clubs-de-football-de-Ukraine
79,Clubs de football de United States,120,https://fbref.com/fr/pays/clubs/USA/Clubs-de-football-de-United-States
80,Clubs de football de Uruguay,25,https://fbref.com/fr/pays/clubs/URU/Clubs-de-football-de-Uruguay
81,Clubs de football de Venezuela,29,https://fbref.com/fr/pays/clubs/VEN/Clubs-de-football-de-Venezuela
82,Clubs de football de Wales,21,https://fbref.com/fr/pays/clubs/WAL/Clubs-de-football-de-Wales
